,peak_id,peak_name,height_metres,climbing_status
451,KIMS,Kimshung,6781,Unclimbed
452,PAWR,Pawar Central,6621,Climbed
453,NGOR,Nagoru,6165,Climbed
454,SALD,Saldim,6374,Unclimbed
455,LANY,Langtang Yubra,6048,Unclimbed
456,LARK,Larkya Peak,6416,Climbed
457,NUPW,Nuptse West II,7732,Climbed
458,TENE,Tengi Ragi Tau East,6675,Climbed
459,NILE,Nilgiri East,6698,Climbed
460,PEMR,Pemthang Ri,6743,Unclimbed
461,FUTI,Futi Himal,6425,Climbed
462,SANB,Sano Bhrikuti,6328,Climbed
463,SANK,Sano Kailash,6452,Climbed
464,TARS,Tarke Kang Shar,7069,Climbed
465,KORL,Korlang Pari Tippa,5738,Unclimbed
466,JANE,Jannu East,7460,Unclimbed
467,YUBR,Yubra,6264,Unclimbed
